Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left,Alice in Wonderland,"Literary classic, UK/US","Lewis Carroll’s Alice’s Adventures in Wonderland is a literary classic first published in 1865, long before its famous Disney adaptations in animated and live-action form. The story follows a young girl named Alice who falls down a rabbit hole into a fantastical world filled with bizarre characters, illogical happenings, and surreal landscapes. This whimsical world is ruled by dream-logic, where time bends, animals talk, and reason dissolves into nonsense. At its heart, Alice in Wonderland explores themes of identity, transformation, and absurdity through a playful, sometimes unsettling lens. The world Alice enters is both imaginative and unpredictable, often bordering on chaotic. While often remembered for its fun and childlike wonder, it also contains darker undertones that reflect confusion, fear, and the disorientation of growing up.  

I’m particularly drawn to the emotional contrast in Alice in Wonderland, how it balances playful surrealism with feelings of foreignness and unease. The characters, from the Cheshire Cat to the Queen of Hearts, are iconic not only for their appearance but for the peculiar psychological tone they create. This liminal and eerie quality, where everything feels off but has a beautiful outer appearance, gives a feeling of fakery. In my own work, I want to evoke a similar sense of trippy wonder, something that feels like a dream, but also like a space you’re not quite supposed to be in. I’m inspired by the way Carroll’s world suspends logic while still feeling emotionally coherent, and I hope to channel that balance of whimsy and eeriness in my final project.",./img/aliceinwonderland.png,,"Alice in Wonderland, Lewis Carroll",,https://en.wikipedia.org/wiki/Alice_in_Wonderland,#Concept, 
left,Camille Utterback,"Interactive media artist, USA","Camille Utterback is a media artist whose interactive installations explore the relationship between the human body and digital systems. Blending art with programming, her work invites viewers to become participants, using physical gestures to shape real-time visual and auditory environments.

In Dances of the Sacred and Profane, a collaboration with choreographer Mark Foehringer, Utterback merges live dance with generative projections and sound. Dancers’ movements are tracked and translated into fluid, molecular visuals that respond in real time, transforming choreography into an immersive digital landscape.

What draws me to this piece is how it treats the dancer’s body as both input and artwork. It’s not about control, but expression, turning data into emotion. The result feels poetic, even alive, showing how physical computing can create intimate, sensory-rich experiences. This aligns with my exploration for my own physical computing sketches, using technology to express movement, emotion, and presence. I’m inspired by the way she blurs the line between human gesture and digital form, and how interaction becomes a kind of storytelling.",./img/dancesofsacredandprofane.jpg,,"Dance of the Sacred and Profane, Camille Utterback",Seeing Voices is a series of AI images generated by the performance Voice In My Head.,https://camilleutterback.com/,#Physical Computing,
leftDoubleImage,Cute Circuit,"Wearable technology design studio, UK","CuteCircuit is a London-based wearable technology studio known for blending fashion with meaningful, emotional interactions. Founded by Francesca Rosella and Ryan Genz, their work explores how clothing can extend human communication and create inclusive experiences through technology.

Two standout projects are the SoundShirt and the HugShirt. The SoundShirt translates music into touch through vibrations embedded in the fabric, allowing deaf users to physically feel the experience of a live orchestra. I admire how this piece is not just a tech experiment, but a carefully considered response to a real accessibility issue. It shows how CuteCircuit focuses on the needs and experiences of the people they design for.

The HugShirt is another work that resonates with me. It allows people to send and receive hugs remotely through sensors and soft electronics. I love how it takes something invisible, like affection, and turns it into something you can feel. It’s playful and emotional at the same time. These works inspire me to think about how wearable technology can help people feel more connected. I’m drawn to how CuteCircuit creates designs that focus on feelings and human connection, not just function.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.designboom.com%2Ftechnology%2Fcute-circuit-deaf-people-feel-music-skin-soundshirt-haptic-sensors-10-04-2019%2F&psig=AOvVaw32lBilRz3BoyqCoZHc9rIg&ust=1747645368156000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMinybzUrI0DFQAAAAAdAAAAABAE,https://www.google.com/url?sa=i&url=https%3A%2F%2Fqeprize.org%2Fnews%2Fcutecircuit-hugshirt&psig=AOvVaw0mkuiwuZ04mBlCjX8v42YN&ust=1747645406018000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPi80dHUrI0DFQAAAAAdAAAAABAE,"The Sound Shirt, Cute Circuit","The Hug Shirt, Cute Circuit",https://cutecircuit.com/,#Physical Computing,
left,Dan Shiffman,"Creative coder & educator, USA","Dan Shiffman is a creative coder, educator, and the mind behind The Coding Train, a popular YouTube channel dedicated to teaching programming in a fun and approachable way. He’s especially known for his tutorials on creative coding using p5.js, Processing, and other visual programming tools.

When I think of p5, I immediately think of Dan Shiffman. His videos have been incredibly helpful to me when learning how to code creatively. He breaks down complex topics with such energy and clarity that it makes the process feel exciting instead of intimidating. His enthusiasm is contagious, and he genuinely makes learning to code feel playful.

To me, he’s the role model for p5.js. He shows that code isn’t just about logic and rules. It’s about experimentation, creativity, and expression. His approach has made a big impact on how I understand coding as a design tool, not just a technical skill.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fmedium.com%2Fprocessing-foundation%2Fcreatecanvas-interview-with-dan-shiffman-part-2-c8fc506c2fbb&psig=AOvVaw3MZgVW7aTA1v1Yot05AWnT&ust=1747645441318000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIC8gKjVrI0DFQAAAAAdAAAAABAE,,"The Coding Train, Dan Shiffman",,https://thecodingtrain.com/,"#P5.js, #Creative Coding",
left,Pacman,"	Classic arcade game, Japan","Pac-Man is a classic arcade game first released in 1980 by Namco. It has since become one of the most iconic and recognizable games in video game history. Originally a simple browser and arcade game, its popularity quickly grew, leading to the development of sequels, spin-offs, and even a movie adaptation. With its straightforward mechanics and bold design, Pac-Man has left a lasting cultural impact.

What draws me to Pac-Man is how well it balances simplicity and charm. From the intuitive gameplay to the bright, colorful visuals, every part of it feels purposeful. The neon color palette, especially set against a black background, is instantly recognizable. Even without the character, the RGB tones make you think of Pac-Man. In my 2A workbook, I drew a lot of inspiration from this game. Its clear navigation, strong visual identity, and nostalgic feel influenced many of my design decisions. Pac-Man proves how powerful design can be when it is playful, accessible, and memorable.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.cnn.com%2Fstyle%2Farticle%2Fpac-man-40-anniversary-history&psig=AOvVaw38N6drgtXmeqgUb3ou3QNp&ust=1747645674726000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLCgjM_VrI0DFQAAAAAdAAAAABA8,,Pac Man Game,,https://www.google.com/logos/2010/pacman10-i.html,"#Creative Coding, #Game Design",
left,Niccolò Miranda,"Interactive designer & developer, Netherlands","Niccolò Miranda is a digital designer known for crafting immersive and experimental web experiences that push the boundaries between print and digital. His work often blends visual storytelling with innovative interaction and has earned recognition across the creative industry.

I’m particularly drawn to his award-winning paper portfolio. When it first launched, it made a huge impact online. It felt revolutionary because it brought together two seemingly opposite formats, analog and digital, by presenting a tactile newspaper-like layout in an interactive digital space. I love the concept of embracing contrast and turning it into something cohesive and striking.

The structure of the site is another highlight for me. It is clear, considered, and visually engaging without feeling cluttered. Miranda’s portfolio was one of my biggest inspirations when designing the layout of my 2C workbook. It taught me how thoughtful structuring can enhance both usability and creative storytelling.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fdribbble.com%2Fshots%2F16740538-Miranda-Paper-Portfolio&psig=AOvVaw2eyfF9syP5XP663qDfPpL0&ust=1747645799321000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKC03orWrI0DFQAAAAAdAAAAABAf,,"The Paper Portfolio, Niccolo Miranda",,https://www.niccolomiranda.com/,"#Creative Coding, #Concept",
left,Ran Zhou,"HRI designer & researcher, China","Ran Zhou is a designer and researcher whose work explores the emotional and physical dimensions of human-computer interaction. Currently pursuing her PhD at KTH Royal Institute of Technology, she focuses on expressive haptics, soma design, and tangible interfaces. Her design approach often bridges technology and emotion, blending academic research with poetic, hands-on experimentation.

I’m particularly moved by her project Pat Me. This wearable robotic interface responds to gentle pats from the user by patting back, creating a cycle of mutual care. What stood out to me is how it challenges the idea of machines as passive tools. Instead, it frames interaction as something reciprocal. The robot only gives comfort if you initiate it, which adds emotional complexity and vulnerability to the exchange.

This project shifted how I think about interaction design. I often view it through a functional lens, but Pat Me reminds me that emotional depth and subtlety are equally powerful. I also admire how the project doesn’t try to eliminate loneliness, but instead acknowledges it and creates space for reflection. A simple touch becomes a meaningful gesture, made possible through thoughtful prototyping and research.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.ranzhourobot.com%2Fpat-me-robot&psig=AOvVaw0jvu6i9s2g8IcUbmHhHsHt&ust=1747645875459000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCICyj6_WrI0DFQAAAAAdAAAAABAE,,"Pat Me Robot, Ran Zhou",,https://www.ranzhourobot.com/,"#Physical Computing, #Concept",
leftDoubleImage,Team Cherry,"Indie game studio, Australia","Team Cherry is an independent game development studio based in Australia, best known for their critically acclaimed title Hollow Knight. The game stands out not just for its visuals or story, but for the immense care and precision put into every detail. From subtle gameplay mechanics to the exact timing of animations, everything is finely tuned. Even small reactions, like the way bushes respond when a player runs through them, show how much thought went into making every moment feel alive and responsive.

What inspires me most is how Hollow Knight balances simplicity and complexity. The characters are minimal in design, yet they live in a world that feels dynamic and immersive through hand-drawn elements and layered particle effects. The storytelling, combat, and atmosphere all work together to create an experience that feels both emotional and technically impressive.

This level of craft opens my eyes to impacts of every single detail. It reminds me that creating emotional connection can come from how a system responds to interaction. Team Cherry’s work pushes me to think more deeply about the relationship between aesthetic, mechanics, and player experience.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fhowlongtobeat.com%2Fgame%2F26286&psig=AOvVaw0M_67h_RvaiBiHYNxXLGsC&ust=1747645937379000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCJiksc7WrI0DFQAAAAAdAAAAABAE,https://www.google.com/url?sa=i&url=https%3A%2F%2Fstore.steampowered.com%2Fapp%2F1030300%2FHollow_Knight_Silksong%2F&psig=AOvVaw1yjvwsY84K2U1dEvBRAidL&ust=1747646338340000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIDXs4vYrI0DFQAAAAAdAAAAABAE,"Hollow Knight, Team Cherry","Silk Song, Team Cherry",https://www.teamcherry.com.au/,"#Game Design, #Concept",
left,Viber Thio & Shiyu Chen,"Web collaborative project, unknown","Web Olympic by Viber Thio and Shiyu Chen is a playful web-based game that uses PoseNet to let players interact with the screen using their body, specifically their nose, to play whack-a-mole. It’s a humorous and clever twist on traditional gameplay that blends physical interaction with machine learning in a light-hearted way.

What really draws me to this project is the way it brings the physical body into digital play. I find the idea of using real-time body tracking for something so simple yet fun really exciting. It makes technology feel more approachable and human. This kind of work inspires me to explore tools like ml5 and experiment with the creative potential of machine learning in interactive design. I love how the concept encourages direct, embodied interaction while staying playful and accessible.
",https://www.google.com/url?sa=i&url=https%3A%2F%2Farchive.ml5js.org%2Fcommunity%2F&psig=AOvVaw183T9m8Sn7byg2pXtLBOED&ust=1747646208175000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKizwM3XrI0DFQAAAAAdAAAAABAE,,"The Web Olympic, Viber Thio & Shiyu Chen",,https://vibertthio.com/web-olympic/,"#P5.js, #Creative Coding, #ML5",
left,Yotam Mann,"Web audio artist, Israel","Yotam Mann is a musician and creative coder known for making interactive web-based music tools that are both playful and educational. One of his most well-known contributions is to Chrome Music Lab, a collection of browser experiments that let people explore, learn, and create music through interactive digital interfaces.

I’m especially drawn to how Chrome Music Lab turns sound and music theory into something hands-on and approachable. Yotam developed and sound-designed about half of the 12 experiments in the lab, working closely with a team to make musical concepts fun and easy to understand. Many of the experiments were built using his own JavaScript framework, Tone.js.

What I admire most is how the project blends technology, education, and experimental sound design into a series of games that feel like an online museum. It encourages curiosity and learning through play, offering users a chance to gain knowledge just by exploring and interacting with sound.",https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.inverse.com%2Farticle%2F12649-the-guy-behind-google-s-chrome-music-lab-it-s-tinkering-with-music-in-a-new-way&psig=AOvVaw3J1oI5I_-b9E1wvEjOXp3x&ust=1747646403991000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKDxqKvYrI0DFQAAAAAdAAAAABAE,,"Chrome Music Lab, Yotam Mann",,https://yotammann.info/musiclab,#Creative Coding,
